longitude,latitude,depth
9.95419,56.128105,0.924
9.95419,56.128105,0.926
9.95419,56.128105,0.925
9.95419,56.128105,0.958
9.95419,56.128105,0.953
9.95419,56.128105,0.967
9.95419,56.128105,0.952
9.95419,56.128105,0.943
9.95419,56.128105,0.973
9.95419,56.128105,0.957
9.95419,56.128105,0.951
9.95419,56.128105,0.948
9.95419,56.128105,0.976
9.95419,56.128105,0.937
9.95419,56.128105,0.907
9.95419,56.128105,0.893
9.95419,56.128105,0.897
9.954189,56.128106,0.889
9.954189,56.128106,0.924
9.954189,56.128106,0.907
9.954189,56.128106,0.883
9.954189,56.128106,0.896
9.954189,56.128106,0.877
9.954189,56.128106,0.871
9.954189,56.128105,0.865
9.954189,56.128105,0.867
9.954189,56.128105,0.87
9.954189,56.128105,0.864
9.954189,56.128105,0.86
9.954189,56.128105,0.854
9.954189,56.128105,0.853
9.954189,56.128105,0.853
9.954189,56.128106,0.85
9.954189,56.128106,0.848
9.954189,56.128105,0.849
9.954189,56.128105,0.853
9.954189,56.128106,0.853
9.954189,56.128106,0.859
9.954189,56.128106,0.892
9.954189,56.128106,0.927
9.954189,56.128106,0.997
9.954189,56.128106,1.062
9.954189,56.128106,1.149
9.954079,56.128142,0.964
9.954079,56.128142,0.94
9.954079,56.128142,0.936
9.954079,56.128142,0.87
9.954079,56.128142,0.854
9.954079,56.128142,0.807
9.954079,56.128142,0.801
9.954079,56.128142,0.772
9.954079,56.128142,0.735
9.954079,56.128143,0.717
9.954079,56.128143,0.704
9.954079,56.128143,0.699
9.954078,56.128143,0.694
9.954078,56.128143,0.691
9.954078,56.128143,0.701
9.954078,56.128143,0.741
9.954078,56.128143,0.743
9.954077,56.128143,0.755
9.954077,56.128143,0.746
9.954077,56.128143,0.737
9.954077,56.128143,0.735
9.954076,56.128143,0.745
9.954076,56.128143,0.754
9.954076,56.128143,0.747
9.954076,56.128143,0.766
9.954076,56.128143,0.763
9.954076,56.128143,0.759
9.954076,56.128143,0.762
9.954076,56.128143,0.766
9.954076,56.128143,0.769
9.954076,56.128143,0.756
9.954076,56.128143,0.755
9.954076,56.128143,0.755
9.954076,56.128143,0.758
9.954076,56.128143,0.757
9.954076,56.128143,0.755
9.954076,56.128143,0.755
9.954076,56.128143,0.759
9.954076,56.128143,0.771
9.954076,56.128143,0.766
9.954076,56.128143,0.765
9.954076,56.128143,0.755
9.954076,56.128143,0.736
9.954076,56.128143,0.736
9.954076,56.128143,0.74
9.954076,56.128143,0.748
9.954076,56.128143,0.753
9.954076,56.128143,0.781
9.954076,56.128143,0.778
9.954076,56.128143,0.746
9.954076,56.128143,0.747
9.954076,56.128143,0.746
9.954076,56.128143,0.749
9.954076,56.128143,0.747
9.954076,56.128143,0.75
9.954076,56.128143,0.756
9.954076,56.128143,0.77
9.954076,56.128143,0.792
9.954076,56.128143,0.836
9.954076,56.128143,0.959
9.954076,56.128143,0.994
9.954076,56.128143,1.016
9.953994,56.128192,1.162
9.953994,56.128192,1.089
9.953994,56.128192,1.07
9.953995,56.128192,1.049
9.953995,56.128192,1.062
9.953995,56.128191,1.006
9.953995,56.128191,1.013
9.953995,56.128191,1.004
9.953996,56.128191,1.0
9.953996,56.128191,0.991
9.953996,56.128191,1.028
9.953996,56.128191,0.994
9.953996,56.128191,0.998
9.953996,56.128191,1.018
9.953996,56.128191,1.004
9.953996,56.128191,1.024
9.953996,56.128191,1.022
9.953996,56.128191,1.035
9.953996,56.128191,1.09
9.953996,56.128191,1.044
9.953996,56.128191,1.06
9.953996,56.128191,1.084
9.953996,56.128191,1.093
9.953996,56.128191,1.102
9.953996,56.128191,1.112
9.953996,56.128191,1.123
9.953996,56.128191,1.132
9.953996,56.128191,1.148
9.953996,56.128191,1.186
9.953996,56.128192,1.15
9.953996,56.128192,1.148
9.953996,56.128192,1.154
9.953995,56.128193,1.156
9.953995,56.128193,1.149
9.953995,56.128193,1.146
9.953994,56.128194,1.155
9.953994,56.128194,1.175
9.953993,56.128195,1.163
9.953992,56.128195,1.16
9.953992,56.128195,1.208
9.953991,56.128196,1.163
9.95399,56.128196,1.166
9.95399,56.128196,1.151
9.953989,56.128197,1.177
9.953989,56.128197,1.171
9.953988,56.128197,1.159
9.953987,56.128198,1.177
9.953986,56.128199,1.132
9.953985,56.128199,1.15
9.953984,56.1282,1.133
9.953984,56.1282,1.127
9.953983,56.1282,1.13
9.953983,56.128201,1.117
9.953982,56.128201,1.116
9.953982,56.128201,1.116
9.953981,56.128202,1.175
9.953981,56.128202,1.109
9.95398,56.128202,1.111
9.95398,56.128202,1.111
9.953979,56.128203,1.129
9.953979,56.128203,1.134
9.953978,56.128203,1.13
9.953978,56.128204,1.085
9.953977,56.128204,1.116
9.953977,56.128204,1.005
9.953976,56.128205,1.139
9.953976,56.128205,1.122
9.953976,56.128205,1.108
9.953975,56.128205,1.097
9.953975,56.128206,1.096
9.953974,56.128206,1.109
9.953974,56.128206,1.105
9.953974,56.128206,1.097
9.953973,56.128207,1.11
9.953973,56.128207,0.982
9.953972,56.128207,1.107
9.953972,56.128207,1.076
9.953971,56.128208,1.107
9.953971,56.128208,1.131
9.953971,56.128208,1.109
9.95397,56.128209,1.114
9.95397,56.128209,1.106
9.953969,56.128209,1.124
9.953969,56.128209,1.104
9.953969,56.12821,1.139
9.953968,56.12821,1.111
9.953968,56.12821,1.111
9.953967,56.128211,1.115
9.953967,56.128211,1.122
9.953967,56.128211,1.15
9.953966,56.128211,1.123
9.953966,56.128211,1.12
9.953966,56.128212,1.103
9.953966,56.128212,1.104
9.953966,56.128212,1.126
9.953965,56.128212,1.129
9.953965,56.128212,1.112
9.953965,56.128212,1.134
9.953965,56.128212,1.149
9.953965,56.128212,1.12
9.953965,56.128212,1.091
9.953965,56.128212,1.094
9.953965,56.128212,1.143
9.953965,56.128212,1.137
9.953965,56.128212,1.162
9.953964,56.128212,1.134
9.953964,56.128212,1.127
9.953964,56.128212,1.151
9.953964,56.128213,1.109
9.953964,56.128213,1.11
9.953964,56.128213,1.124
9.953964,56.128213,1.133
9.953964,56.128213,1.148
9.953964,56.128212,1.141
9.953964,56.128212,1.125
9.953964,56.128212,1.168
9.953964,56.128212,1.194
9.953964,56.128212,1.166
9.953964,56.128212,1.104
9.953964,56.128212,1.096
9.953964,56.128212,1.088
9.953964,56.128212,1.083
9.953964,56.128212,1.072
9.953964,56.128212,1.061
9.953964,56.128212,1.053
9.953964,56.128212,1.046
9.953964,56.128212,1.037
9.953964,56.128212,1.042
9.953964,56.128212,1.069
9.953964,56.128212,1.073
9.953964,56.128212,1.076
9.953964,56.128212,1.056
9.953965,56.128212,1.051
9.953965,56.128212,1.03
9.953965,56.128212,1.035
9.953965,56.128212,1.033
9.953964,56.128212,1.033
9.953964,56.128212,1.035
9.953964,56.128212,1.037
9.953964,56.128212,1.036
9.953964,56.128212,1.039
9.953964,56.128212,1.042
9.953964,56.128212,1.04
9.953964,56.128212,1.053
9.953964,56.128212,1.06
9.953964,56.128212,1.069
9.953964,56.128212,1.03
9.953964,56.128212,1.042
9.953964,56.128212,1.047
9.953964,56.128212,1.061
9.953964,56.128212,1.051
9.953964,56.128212,1.055
9.953964,56.128212,1.069
9.953964,56.128212,1.069
9.953964,56.128212,1.069
9.953964,56.128212,1.094
9.953964,56.128212,1.132
9.953964,56.128212,1.179
9.953964,56.128212,1.216
9.953851,56.128278,0.953
9.953851,56.128278,0.935
9.95385,56.128278,0.888
9.95385,56.128278,0.847
9.95385,56.128278,0.837
9.953849,56.128278,0.799
9.953849,56.128278,0.705
9.953849,56.128278,0.708
9.953849,56.128278,0.591
9.953849,56.128278,0.633
9.953849,56.128278,0.608
9.953849,56.128278,0.602
9.953849,56.128278,0.602
9.953849,56.128278,0.624
9.953849,56.128278,0.594
9.953849,56.128278,0.604
9.953849,56.128278,0.598
9.953848,56.128278,0.588
9.953848,56.128278,0.588
9.953848,56.128278,0.593
9.953848,56.128278,0.595
9.953848,56.128278,0.599
9.953848,56.128278,0.598
9.953848,56.128278,0.6
9.953848,56.128278,0.604
9.953848,56.128278,0.603
9.953848,56.128278,0.61
9.953848,56.128278,0.612
9.953848,56.128278,0.617
9.953848,56.128278,0.611
9.953848,56.128278,0.595
9.953848,56.128278,0.582
9.953848,56.128278,0.579
9.953848,56.128278,0.579
9.953848,56.128278,0.601
9.953848,56.128278,0.606
9.953848,56.128278,0.607
9.953848,56.128278,0.622
9.953848,56.128278,0.604
9.953849,56.128278,0.603
9.953849,56.128278,0.601
9.953849,56.128278,0.594
9.953849,56.128278,0.589
9.953849,56.128278,0.588
9.953849,56.128278,0.592
9.953849,56.128278,0.594
9.953849,56.128278,0.6
9.953849,56.128278,0.594
9.953849,56.128278,0.59
9.953849,56.128278,0.586
9.953849,56.128278,0.584
9.953849,56.128278,0.59
9.953849,56.128278,0.602
9.953848,56.128278,0.606
9.953848,56.128278,0.619
9.953848,56.128278,0.606
9.953848,56.128278,0.598
9.953848,56.128278,0.594
9.953848,56.128278,0.606
9.953848,56.128278,0.63
9.953848,56.128278,0.667
9.953848,56.128278,0.705
9.953848,56.128278,0.739
9.953848,56.128277,0.786
9.953767,56.128327,0.672
9.953767,56.128327,0.646
9.953767,56.128327,0.585
9.953767,56.128328,0.491
9.953767,56.128328,0.504
9.953767,56.128328,0.413
9.953767,56.128328,0.411
9.953767,56.128328,0.371
9.953767,56.128328,0.335
9.953767,56.128328,0.312
9.953767,56.128328,0.288
9.953767,56.128328,0.289
9.953767,56.128328,0.288
9.953767,56.128328,0.288
9.953767,56.128327,0.288
9.953767,56.128327,0.299
9.953767,56.128327,0.292
9.953767,56.128327,0.304
9.953767,56.128327,0.311
9.953767,56.128327,0.327
9.953767,56.128327,0.349
9.953767,56.128327,0.328
9.953767,56.128327,0.316
9.953767,56.128327,0.352
9.953767,56.128327,0.357
9.953767,56.128327,0.376
9.953767,56.128327,0.364
9.953767,56.128327,0.361
9.953767,56.128327,0.357
9.953767,56.128327,0.377
